target_name,ensg_id,annotations_grade_3,annotations_grade_2,annotations_grade_1
GOLT1B,ENSG00000111711,golgi,er;vesicles,
GORASP2,ENSG00000115806,golgi,,
GOSR1,ENSG00000108587,vesicles,,
GOSR2,ENSG00000108433,vesicles,golgi,
GPAT3,ENSG00000138678,er,,
GPAT4,ENSG00000158669,er,,vesicles
GPR107,ENSG00000148358,golgi;vesicles,,
GRB2,ENSG00000177885,cytoplasmic;nucleoplasm,,
GRK2,ENSG00000173020,cytoplasmic,,
GSK3A,ENSG00000105723,cytoplasmic,vesicles,
GSK3B,ENSG00000082701,cytoplasmic,,nucleoplasm
GSPT1,ENSG00000103342,cytoplasmic,,
GSTP1,ENSG00000084207,nucleoplasm;cytoplasmic,,
GTF2F1,ENSG00000125651,nucleolus_gc;nucleoplasm,,
GTPBP4,ENSG00000107937,nucleolus_gc,,
GYG1,ENSG00000163754,cytoplasmic,,
GYG2,ENSG00000056998,cytoplasmic,,
GYS1,ENSG00000104812,cytoplasmic,,
H1-0,ENSG00000189060,nucleoplasm,chromatin,
H2AZ1,ENSG00000164032,chromatin,nucleoplasm,
H2BC21,ENSG00000184678,chromatin,,
HDAC1,ENSG00000116478,nucleoplasm,chromatin,
HDAC2,ENSG00000196591,nucleoplasm,chromatin,
HDAC3,ENSG00000171720,nucleoplasm,chromatin,
HEATR3,ENSG00000155393,nucleoplasm,cytoplasmic,
HGS,ENSG00000185359,cytoplasmic;vesicles,,
HIP1,ENSG00000127946,cytoplasmic,membrane,vesicles
HLA-A,ENSG00000206503,membrane;vesicles,,
HMGA1,ENSG00000137309,nucleoplasm;chromatin,,nucleolus_gc
HMGB2,ENSG00000164104,nucleoplasm,chromatin,
HMGCS1,ENSG00000112972,nucleoplasm;cytoplasmic,,
HMGN2,ENSG00000198830,chromatin,nucleoplasm,
HMGN5,ENSG00000198157,chromatin;nucleoplasm,,
HNRNPA0,ENSG00000177733,nucleoplasm,,
HNRNPC,ENSG00000092199,nucleoplasm,chromatin,
HNRNPD,ENSG00000138668,nucleoplasm,chromatin,
HNRNPH1,ENSG00000169045,chromatin,nucleoplasm,
HNRNPL,ENSG00000104824,nucleoplasm,nuclear_punctae,
HNRNPU,ENSG00000153187,nucleoplasm,chromatin,
HOMER1,ENSG00000152413,cell_contact,centrosome,cytoplasmic;nucleoplasm
HSF1,ENSG00000185122,nucleoplasm,nuclear_punctae,
HSP90AA1,ENSG00000080824,nucleoplasm;cytoplasmic,,
HSP90AB1,ENSG00000096384,cytoplasmic;nucleoplasm,,
HSPA12A,ENSG00000165868,membrane,cell_contact,cytoplasmic;nucleoplasm
HSPA14,ENSG00000187522,cytoplasmic,,nucleoplasm
HSPA1B,ENSG00000204388,nucleoplasm;cytoplasmic;big_aggregates,,
HSPA4,ENSG00000170606,nucleoplasm,cytoplasmic;nuclear_punctae,
HSPA4L,ENSG00000164070,nucleoplasm;cytoplasmic,,
HSPA8,ENSG00000109971,nucleoplasm;cytoplasmic,nuclear_punctae,
HSPB1,ENSG00000106211,cytoplasmic,,
HSPB11,ENSG00000081870,,cytoplasmic,nucleoplasm
HSPBP1,ENSG00000133265,nucleoplasm;cytoplasmic,,
HSPH1,ENSG00000120694,cytoplasmic,nucleoplasm,nuclear_punctae
HUS1,ENSG00000136273,nucleoplasm,nuclear_punctae;cytoplasmic,
IDI1,ENSG00000067064,nucleoplasm;cytoplasmic,,
IGF1R,ENSG00000140443,membrane,vesicles,
IGF2BP1,ENSG00000159217,big_aggregates;cytoplasmic,,
IGF2BP3,ENSG00000136231,cytoplasmic,,
IKBKB,ENSG00000104365,cytoplasmic,nucleoplasm,
ILF3,ENSG00000129351,nucleoplasm;nucleolus_gc,,
ILK,ENSG00000166333,focal_adhesions;cytoplasmic,,
IMP3,ENSG00000177971,nucleolus_gc,,
IMPA2,ENSG00000141401,nucleoplasm;cytoplasmic,,
INO80,ENSG00000128908,chromatin,,
INPP4A,ENSG00000040933,cytoplasmic,vesicles,nucleoplasm
INPP5E,ENSG00000148384,centrosome;vesicles,,
INPP5K,ENSG00000132376,er,,
INPPL1,ENSG00000165458,cytoplasmic,,vesicles
INTS14,ENSG00000138614,nucleoplasm;nuclear_punctae,,chromatin
INTS5,ENSG00000185085,nuclear_punctae,chromatin,
INTS9,ENSG00000104299,nuclear_punctae,nucleoplasm,
IPO11,ENSG00000086200,nucleoplasm,cytoplasmic,
IPO13,ENSG00000117408,,nucleoplasm,
IPO4,ENSG00000196497,nucleoplasm;cytoplasmic,,
IPO5,ENSG00000065150,cytoplasmic;nucleoplasm,,
IPO7,ENSG00000205339,cytoplasmic,nucleoplasm,
IPO8,ENSG00000133704,nucleoplasm;cytoplasmic,,
IRAK1,ENSG00000184216,cytoplasmic,,
IST1,ENSG00000182149,cytoplasmic;vesicles,,
ITPR3,ENSG00000096433,vesicles,,membrane
ITSN1,ENSG00000205726,membrane;cell_contact,,cytoplasmic
ITSN2,ENSG00000198399,membrane;cell_contact,vesicles,cytoplasmic
JUN,ENSG00000177606,nucleoplasm,chromatin,
JUNB,ENSG00000171223,chromatin,nucleoplasm,
KDSR,ENSG00000119537,er;vesicles,,
KEAP1,ENSG00000079999,cytoplasmic;vesicles,,
KIAA0319L,ENSG00000142687,vesicles,golgi,
KIAA1143,ENSG00000163807,nucleoplasm,,
KIF11,ENSG00000138160,cytoskeleton;cytoplasmic,,
KIF1B,ENSG00000054523,cytoplasmic,nucleoplasm;big_aggregates,centrosome
KIF20A,ENSG00000112984,cytoplasmic,,
KIF22,ENSG00000079616,chromatin,,
KIF2A,ENSG00000068796,cytoskeleton;nucleoplasm;cytoplasmic,,
KIF2C,ENSG00000142945,nucleoplasm;cytoskeleton;centrosome;nuclear_punctae,,
KIF3A,ENSG00000131437,cytoplasmic,,
KIF3B,ENSG00000101350,cytoplasmic,centrosome,
KIF4A,ENSG00000090889,nucleoplasm,,big_aggregates
KIF5B,ENSG00000170759,centrosome;cytoplasmic,,
KIF7,ENSG00000166813,vesicles;centrosome,,
KIFAP3,ENSG00000075945,cytoplasmic,big_aggregates,nucleoplasm
KIFBP,ENSG00000198954,cytoplasmic,nucleoplasm;big_aggregates,
KIFC1,ENSG00000237649,cytoskeleton,,
KLC1,ENSG00000126214,centrosome;cytoplasmic,,
KLC2,ENSG00000174996,centrosome;cytoplasmic,,
KLC4,ENSG00000137171,cytoplasmic,centrosome,
KPNA1,ENSG00000114030,nuclear_membrane;big_aggregates,nucleoplasm;cytoplasmic,
KPNA2,ENSG00000182481,nuclear_membrane;cytoplasmic,nucleoplasm;big_aggregates,
KPNA3,ENSG00000102753,nuclear_membrane;nucleoplasm;cytoplasmic,,
KPNA4,ENSG00000186432,nuclear_membrane;big_aggregates,cytoplasmic;nucleoplasm,
KPNA6,ENSG00000025800,nuclear_membrane,nucleoplasm;cytoplasmic;big_aggregates,
KPNB1,ENSG00000108424,big_aggregates,nuclear_membrane,nucleoplasm;cytoplasmic
KRAS,ENSG00000133703,membrane,,cytoplasmic
KRT18,ENSG00000111057,cytoskeleton,,cytoplasmic
KRTCAP2,ENSG00000163463,er,,
LAMP1,ENSG00000185896,vesicles,,
LAMP2,ENSG00000005893,vesicles,,
LAMTOR2,ENSG00000116586,vesicles,,
LARP7,ENSG00000174720,nucleolus_gc;nucleoplasm,,nuclear_punctae;vesicles
LBR,ENSG00000143815,nuclear_membrane,er,
LDHA,ENSG00000134333,cytoplasmic,,centrosome;nucleoplasm
LDHB,ENSG00000111716,cytoplasmic,,nucleoplasm;vesicles
LEMD2,ENSG00000161904,nuclear_membrane;big_aggregates,,er
LEMD3,ENSG00000174106,nuclear_membrane,,
LGALS1,ENSG00000100097,cytoplasmic;nucleoplasm,,
LIG1,ENSG00000105486,nuclear_punctae;nucleoplasm,,
LIMK2,ENSG00000182541,cytoplasmic,,nucleoplasm
LMAN1,ENSG00000074695,vesicles,,
LMNA,ENSG00000160789,nuclear_membrane,,
LMNB1,ENSG00000113368,nuclear_membrane,,
LNPK,ENSG00000144320,vesicles,er,
LPCAT1,ENSG00000153395,er,vesicles,
LPCAT2,ENSG00000087253,er;vesicles,,
LSM14A,ENSG00000257103,big_aggregates,,
LSM14B,ENSG00000149657,big_aggregates,,cytoplasmic
LSS,ENSG00000160285,vesicles,,er
LTV1,ENSG00000135521,cytoplasmic,,nucleoplasm;nucleolus_gc
LZTS2,ENSG00000107816,membrane;cell_contact;centrosome,,cytoplasmic
MAN1A2,ENSG00000198162,vesicles,,
MAP1LC3B,ENSG00000140941,vesicles;nucleoplasm;cytoplasmic,cytoskeleton,
MAP2K1,ENSG00000169032,cytoplasmic,,
MAP2K2,ENSG00000126934,cytoplasmic,,
MAP2K3,ENSG00000034152,nucleoplasm;cytoplasmic,,
MAP2K7,ENSG00000076984,nucleoplasm;cytoplasmic,,
MAP3K7,ENSG00000135341,cytoplasmic,,
MAP4,ENSG00000047849,cytoskeleton,,
MAP4K4,ENSG00000071054,cell_contact;membrane,cytoplasmic,
MAPK1,ENSG00000100030,cytoplasmic,nucleoplasm,
MAPK14,ENSG00000112062,nucleoplasm;cytoplasmic,,
MAPK3,ENSG00000102882,cytoplasmic,nucleoplasm,
MAPK8,ENSG00000107643,cytoplasmic;nucleoplasm,,
MAPK9,ENSG00000050748,cytoplasmic;nucleoplasm,,
MAPKAPK2,ENSG00000162889,cytoplasmic;nucleoplasm,centrosome,
MAPKAPK3,ENSG00000114738,nucleoplasm;cytoplasmic,,
MAPRE1,ENSG00000101367,centrosome;cytoplasmic,,nucleoplasm
MARK2,ENSG00000072518,membrane;cytoplasmic,nucleoplasm;nucleolus_gc,
MARK3,ENSG00000075413,membrane;cytoplasmic,cell_contact,nucleoplasm
MARK4,ENSG00000007047,centrosome;cytoplasmic,,
MBOAT2,ENSG00000143797,vesicles,er,
MBOAT7,ENSG00000125505,er,,
MCM10,ENSG00000065328,nucleolus_gc;nucleoplasm,cytoplasmic,
MCOLN1,ENSG00000090674,vesicles,,
MDH1,ENSG00000014641,cytoplasmic;nucleoplasm,,
MECP2,ENSG00000169057,chromatin,,
MED10,ENSG00000133398,nucleoplasm;nuclear_punctae,,
MED11,ENSG00000161920,nucleoplasm;nuclear_punctae,,
MED14,ENSG00000180182,nucleoplasm;nuclear_punctae,,
MED15,ENSG00000099917,nucleoplasm;nuclear_punctae,,
MED17,ENSG00000042429,nucleoplasm;nuclear_punctae,,
MED18,ENSG00000130772,nucleoplasm;nuclear_punctae,,
MED19,ENSG00000156603,nucleoplasm;nuclear_punctae,,
MED20,ENSG00000124641,nucleoplasm;nuclear_punctae,,
MED21,ENSG00000152944,nucleoplasm;nuclear_punctae,,
MED22,ENSG00000148297,nucleoplasm;nuclear_punctae,,
MED24,ENSG00000008838,nucleoplasm;nuclear_punctae,,
MED25,ENSG00000104973,nucleoplasm;chromatin,,
MED27,ENSG00000160563,nucleoplasm;nuclear_punctae,,
MED28,ENSG00000118579,nucleoplasm;nuclear_punctae,,
MED29,ENSG00000063322,nucleoplasm;nuclear_punctae,,
MED31,ENSG00000108590,nucleoplasm;nuclear_punctae,,
MED4,ENSG00000136146,nucleoplasm;nuclear_punctae,,
MED6,ENSG00000133997,nucleoplasm;nuclear_punctae,,
MED8,ENSG00000159479,nucleoplasm;nuclear_punctae,,
MED9,ENSG00000141026,nucleoplasm;nuclear_punctae,,
MELK,ENSG00000165304,cytoplasmic,,vesicles;nucleoplasm
METAP2,ENSG00000111142,cytoplasmic,,nucleoplasm;nucleolus_gc
MFN1,ENSG00000171109,mitochondria,,
MFN2,ENSG00000116688,mitochondria,,
MFSD11,ENSG00000092931,vesicles,,
MFSD12,ENSG00000161091,vesicles,,
MIF,ENSG00000240972,nucleoplasm;cytoplasmic,,
MINK1,ENSG00000141503,cytoplasmic;membrane,cell_contact,big_aggregates
MIS12,ENSG00000167842,nuclear_punctae,,nucleoplasm
MKI67,ENSG00000148773,nucleolus_gc,nuclear_punctae;chromatin,nucleoplasm
MKNK1,ENSG00000079277,cytoplasmic,nucleoplasm,big_aggregates
MKNK2,ENSG00000099875,cytoplasmic;nucleoplasm,big_aggregates,
MMGT1,ENSG00000169446,er,,
MPHOSPH10,ENSG00000124383,nucleolus_gc,,
MRTO4,ENSG00000053372,nucleolus_gc,,
MSH6,ENSG00000116062,nuclear_punctae;chromatin;nucleoplasm,,
MSN,ENSG00000147065,cytoplasmic,,nucleoplasm
MTMR1,ENSG00000063601,cell_contact;cytoplasmic;nucleoplasm,membrane,
MTMR2,ENSG00000087053,nucleoplasm;cytoplasmic,vesicles,
MTOR,ENSG00000198793,cytoplasmic,vesicles,
MVB12A,ENSG00000141971,cytoplasmic;vesicles,,
MVD,ENSG00000167508,cytoplasmic,nucleoplasm,big_aggregates
MVK,ENSG00000110921,cytoplasmic;nucleoplasm,,
MYBBP1A,ENSG00000132382,nucleolus_gc,,
MYH10,ENSG00000133026,cytoskeleton,,
MYH9,ENSG00000100345,cytoskeleton;membrane,cytoplasmic,
MYL12A,ENSG00000101608,cytoskeleton;cytoplasmic,,
MYL12B,ENSG00000118680,cytoskeleton,cytoplasmic,
MYL6,ENSG00000092841,cytoskeleton,cytoplasmic,
MYL6B,ENSG00000196465,cytoplasmic;cytoskeleton,membrane,
MYO19,ENSG00000278259,mitochondria,,
MYO1B,ENSG00000128641,membrane,cell_contact,
MYO1C,ENSG00000197879,membrane,,cytoplasmic
MYO1E,ENSG00000157483,cytoplasmic,,
MYO6,ENSG00000196586,cytoplasmic;vesicles,,membrane
MYO9A,ENSG00000066933,cytoplasmic,,membrane
MYO9B,ENSG00000099331,cytoplasmic,,membrane
NAF1,ENSG00000145414,nucleoplasm,chromatin;nucleolus_fc_dfc,nuclear_punctae
NANS,ENSG00000095380,nucleoplasm,,cytoplasmic
NAPA,ENSG00000105402,golgi;cytoplasmic;nucleoplasm,vesicles,
NAPG,ENSG00000134265,cytoplasmic,vesicles,
NCAPH,ENSG00000121152,nucleoplasm;cytoplasmic,chromatin,
NCK1,ENSG00000158092,focal_adhesions,,membrane;cytoplasmic
NCK2,ENSG00000071051,vesicles,cytoplasmic,
NCKAP1,ENSG00000061676,cytoplasmic;membrane,cell_contact,
NCKAP5L,ENSG00000167566,centrosome;cytoplasmic,nucleoplasm,
NCL,ENSG00000115053,nucleolus_gc,,nucleoplasm
NCLN,ENSG00000125912,er,,vesicles
NCOA1,ENSG00000084676,nucleoplasm,,
NECAP1,ENSG00000089818,membrane;cytoplasmic;nucleoplasm,,
NECAP2,ENSG00000157191,nucleoplasm;cytoplasmic,membrane,cell_contact
NEDD1,ENSG00000139350,centrosome,cytoplasmic,
NEK9,ENSG00000119638,cytoplasmic,,
NEMF,ENSG00000165525,cytoplasmic,,
NEPRO,ENSG00000163608,nucleolus_gc,,
NET1,ENSG00000173848,nucleoplasm,,
NFKB1,ENSG00000109320,cytoplasmic,,
NFKB2,ENSG00000077150,cytoplasmic,,nucleoplasm
NHP2,ENSG00000145912,nucleolus_fc_dfc,,
NIFK,ENSG00000155438,nucleolus_gc,,
NMD3,ENSG00000169251,nucleolus_gc,cytoplasmic,nucleoplasm
NOL10,ENSG00000115761,nucleolus_gc,,
NOL11,ENSG00000130935,nucleolus_gc,,
NOM1,ENSG00000146909,nucleolus_gc,,chromatin
NONO,ENSG00000147140,nucleoplasm,chromatin;nucleolus_fc_dfc;nuclear_punctae,
NOP10,ENSG00000182117,nucleolus_fc_dfc,,nucleoplasm
NOP2,ENSG00000111641,nucleolus_gc,,
NOP53,ENSG00000105373,nucleolus_gc,,
NOP58,ENSG00000055044,nucleolus_fc_dfc,,
NPM1,ENSG00000181163,nucleolus_gc,,
NPM3,ENSG00000107833,nucleolus_gc,,
NRBP1,ENSG00000115216,cytoplasmic,,nucleoplasm
NSA2,ENSG00000164346,nucleolus_gc,,
NSDHL,ENSG00000147383,er,vesicles,
NUCKS1,ENSG00000069275,chromatin,nucleoplasm,
NUF2,ENSG00000143228,cytoskeleton,,centrosome
NUFIP2,ENSG00000108256,cytoplasmic,,
NUMA1,ENSG00000137497,nucleoplasm,chromatin,
NUP107,ENSG00000111581,nuclear_membrane,,
NUP153,ENSG00000124789,nuclear_membrane,,
NUP155,ENSG00000113569,nuclear_membrane,,
NUP214,ENSG00000126883,nuclear_membrane,big_aggregates,
NUP35,ENSG00000163002,nuclear_membrane,big_aggregates,
NUP98,ENSG00000110713,nuclear_membrane,,
NUTF2,ENSG00000102898,nuclear_membrane,,nucleoplasm;cytoplasmic
NVL,ENSG00000143748,nucleolus_gc,,nucleoplasm
NXF1,ENSG00000162231,nuclear_punctae;nuclear_membrane,nucleoplasm,
NXT2,ENSG00000101888,nuclear_punctae,nucleoplasm,nuclear_membrane
OCRL,ENSG00000122126,cytoplasmic,vesicles,golgi
ORAI1,ENSG00000276045,membrane,er,
OSBP,ENSG00000110048,golgi;vesicles,membrane;cell_contact,
OSBPL11,ENSG00000144909,golgi;cytoplasmic,,vesicles
OSBPL8,ENSG00000091039,er,membrane;cell_contact;vesicles,
OST4,ENSG00000228474,er,,
OSTC,ENSG00000198856,er,,
OXSR1,ENSG00000172939,cytoplasmic,nucleoplasm,
PABPC4,ENSG00000090621,cytoplasmic,,
PACSIN2,ENSG00000100266,cytoplasmic,membrane,
PACSIN3,ENSG00000165912,membrane,cell_contact,cytoplasmic
PAIP1,ENSG00000172239,nuclear_membrane;cytoplasmic,,
PAK1,ENSG00000149269,focal_adhesions,cytoplasmic,
PAK2,ENSG00000180370,focal_adhesions,cytoplasmic;nucleoplasm,
PAK4,ENSG00000130669,cytoplasmic,centrosome,cell_contact
PARP1,ENSG00000143799,nucleolus_gc;nucleoplasm,,
PASK,ENSG00000115687,cytoplasmic,big_aggregates,
PATZ1,ENSG00000100105,nucleoplasm;cytoplasmic,,
PBK,ENSG00000168078,nucleoplasm;cytoplasmic,,
PCNA,ENSG00000132646,nuclear_punctae;nucleoplasm,cytoplasmic;chromatin,
PDAP1,ENSG00000106244,cytoplasmic,centrosome,
PDCD11,ENSG00000148843,nucleolus_gc,,
PDCD6,ENSG00000249915,nucleoplasm;cytoplasmic,,
PDCD6IP,ENSG00000170248,cytoplasmic,,nucleoplasm
PDCL3,ENSG00000115539,cytoplasmic,,nucleoplasm
PDPK1,ENSG00000140992,cytoplasmic,,membrane
PES1,ENSG00000100029,nucleolus_gc,,nucleoplasm
PEX3,ENSG00000034693,vesicles,,
PFDN6,ENSG00000204220,cytoplasmic;nucleoplasm,,
PFN1,ENSG00000108518,cytoplasmic,,
PGK1,ENSG00000102144,cytoplasmic;nucleoplasm,,
PGRMC1,ENSG00000101856,er,vesicles,
PGRMC2,ENSG00000164040,er;vesicles,,
PHAX,ENSG00000164902,nucleoplasm,,
PHF10,ENSG00000130024,nucleoplasm,chromatin,
PHGDH,ENSG00000092621,cytoplasmic;nucleoplasm,,
PHKG2,ENSG00000156873,cytoplasmic,,nucleoplasm
PHLDB1,ENSG00000019144,membrane,,
PI4K2A,ENSG00000155252,vesicles,,
PI4KA,ENSG00000241973,membrane,cytoplasmic,vesicles;nucleoplasm
PI4KB,ENSG00000143393,golgi,,cytoplasmic;vesicles
PICALM,ENSG00000073921,membrane,,
PIK3C2A,ENSG00000011405,cytoplasmic,vesicles,
PIK3C3,ENSG00000078142,cytoplasmic,vesicles,
PIK3R1,ENSG00000145675,membrane,vesicles;cytoplasmic,
PIK3R2,ENSG00000105647,membrane;cytoplasmic;cell_contact,vesicles,
PIKFYVE,ENSG00000115020,vesicles,cytoplasmic,
PIN4,ENSG00000102309,nucleolus_gc;cytoplasmic;nucleoplasm,,
PIP4K2A,ENSG00000150867,cytoplasmic,membrane,nucleoplasm
PIP4K2B,ENSG00000276293,membrane;cytoplasmic,,nucleoplasm;vesicles
PIP4K2C,ENSG00000166908,membrane,er,nucleoplasm
PIP4P1,ENSG00000165782,vesicles,membrane,
PIP5K1A,ENSG00000143398,membrane,,cytoplasmic;vesicles
PIP5K1C,ENSG00000186111,membrane,cytoplasmic,vesicles
PKM,ENSG00000067225,cytoplasmic,,nucleoplasm
PKMYT1,ENSG00000127564,er,,nucleoplasm
PKN1,ENSG00000123143,cytoplasmic,,
PKN2,ENSG00000065243,cytoplasmic;er,,nucleoplasm;membrane
PLA2G4A,ENSG00000116711,nucleoplasm;cytoplasmic,,
PLD2,ENSG00000129219,cytoplasmic,,vesicles;membrane
PLK1,ENSG00000166851,centrosome,nucleoplasm;cytoplasmic;nuclear_punctae,
PLPP1,ENSG00000067113,membrane,vesicles,er
PMVK,ENSG00000163344,nucleoplasm;cytoplasmic,,
PNPLA2,ENSG00000177666,vesicles,,
POLR1A,ENSG00000068654,nucleolus_fc_dfc,,
POLR1B,ENSG00000125630,nucleolus_fc_dfc,,
POLR1C,ENSG00000171453,nucleolus_fc_dfc,,nuclear_punctae
POLR1D,ENSG00000186184,nucleolus_fc_dfc,nucleoplasm,
POLR1E,ENSG00000137054,nucleolus_fc_dfc,nuclear_punctae,
POLR1F,ENSG00000105849,nucleolus_fc_dfc,,nuclear_punctae
POLR2A,ENSG00000181222,nucleoplasm,nuclear_punctae,
POLR2B,ENSG00000047315,nucleoplasm;nuclear_punctae,,cytoplasmic
POLR2C,ENSG00000102978,nucleoplasm,nuclear_punctae,chromatin;cytoplasmic
POLR2D,ENSG00000144231,nucleoplasm,cytoplasmic,
POLR2E,ENSG00000099817,nucleolus_fc_dfc,nuclear_punctae;nucleoplasm,
POLR2F,ENSG00000100142,nucleoplasm;nuclear_punctae;nucleolus_fc_dfc,,cytoplasmic
POLR2G,ENSG00000168002,nucleoplasm,,
POLR2H,ENSG00000163882,nucleolus_fc_dfc,,nucleoplasm
POLR2I,ENSG00000105258,nucleoplasm,,nuclear_punctae;cytoplasmic
POLR2J,ENSG00000005075,nucleoplasm;nuclear_punctae,,cytoplasmic
POLR2K,ENSG00000147669,nucleolus_fc_dfc,nucleoplasm,
POLR3A,ENSG00000148606,nuclear_punctae,nucleoplasm,
POLR3B,ENSG00000013503,nuclear_punctae,nucleoplasm,
POLR3C,ENSG00000186141,nucleoplasm,,
POLR3D,ENSG00000168495,nuclear_punctae;nucleoplasm,,
POLR3E,ENSG00000058600,nucleoplasm;nuclear_punctae,,
POLR3F,ENSG00000132664,nuclear_punctae,nucleoplasm,
POLR3G,ENSG00000113356,nuclear_punctae,nucleoplasm,
POLR3GL,ENSG00000121851,nuclear_punctae,nucleoplasm,
POLR3H,ENSG00000100413,nuclear_punctae,nucleoplasm,
POT1,ENSG00000128513,nuclear_punctae,,
PPM1G,ENSG00000115241,nucleoplasm,,
PPP2CA,ENSG00000113575,centrosome,cytoplasmic;nucleoplasm,membrane
PPP2CB,ENSG00000104695,cytoplasmic;nucleoplasm;big_aggregates,,
PPP6R1,ENSG00000105063,cytoplasmic,vesicles,
PRKAA1,ENSG00000132356,cytoplasmic,vesicles,nucleoplasm
PRKACA,ENSG00000072062,cytoplasmic;centrosome,vesicles,
PRKCD,ENSG00000163932,cytoplasmic;nucleoplasm,,
PRKCI,ENSG00000163558,cytoplasmic;nucleoplasm,,
PRKD2,ENSG00000105287,cytoplasmic,,
PRKD3,ENSG00000115825,big_aggregates;cytoplasmic,nucleoplasm,
PRKDC,ENSG00000253729,nucleoplasm,,
PRMT9,ENSG00000164169,nucleoplasm,cytoplasmic,
PRPF19,ENSG00000110107,chromatin,nucleoplasm,
PRPF4B,ENSG00000112739,chromatin,nuclear_punctae,
PRPF8,ENSG00000174231,chromatin,,
PSMA1,ENSG00000129084,nucleoplasm,cytoplasmic,
PSMA2,ENSG00000106588,nucleoplasm;cytoplasmic,,
PSMA3,ENSG00000100567,nucleoplasm;cytoplasmic,,
PSMA4,ENSG00000041357,nucleoplasm;cytoplasmic,,
PSMA5,ENSG00000143106,nucleoplasm,cytoplasmic,
PSMA6,ENSG00000100902,cytoplasmic,nucleoplasm,
PSMB1,ENSG00000008018,nucleoplasm;cytoplasmic,,
PSMB2,ENSG00000126067,nucleoplasm;cytoplasmic,,
PSMB3,ENSG00000277791,nucleoplasm;cytoplasmic,,
PSMB4,ENSG00000159377,nucleoplasm,cytoplasmic,
PSMB5,ENSG00000100804,nucleoplasm;cytoplasmic,,
PSMB6,ENSG00000142507,nucleoplasm;cytoplasmic,,
PSMB7,ENSG00000136930,nucleoplasm;cytoplasmic,,
PSMC2,ENSG00000161057,nucleoplasm,,cytoplasmic
PSMC3,ENSG00000165916,cytoplasmic;nucleoplasm,,
PSMC3IP,ENSG00000131470,big_aggregates,nuclear_punctae;nucleoplasm,
PSMC4,ENSG00000013275,nucleoplasm,cytoplasmic,
PSMC5,ENSG00000087191,nucleoplasm,cytoplasmic,
PSMC6,ENSG00000100519,nucleoplasm,,
PSMD1,ENSG00000173692,nucleoplasm,cytoplasmic,
PSMD10,ENSG00000101843,cytoplasmic;nucleoplasm,,
PSMD11,ENSG00000108671,cytoplasmic;nucleoplasm,,
PSMD12,ENSG00000197170,nucleoplasm;cytoplasmic,,
PSMD13,ENSG00000185627,nucleoplasm,cytoplasmic,
PSMD2,ENSG00000175166,nucleoplasm,cytoplasmic,
PSMD3,ENSG00000108344,nucleoplasm;cytoplasmic,,
PSMD4,ENSG00000159352,nucleoplasm;cytoplasmic,,
PSMD6,ENSG00000163636,nucleoplasm;cytoplasmic,,
PSMD7,ENSG00000103035,nucleoplasm,cytoplasmic;big_aggregates,
PSMD9,ENSG00000110801,cytoplasmic;nucleoplasm,,
PSME1,ENSG00000092010,cytoplasmic,nucleoplasm,
PSME2,ENSG00000100911,cytoplasmic,nucleoplasm,
PSME3,ENSG00000131467,nucleoplasm,,
PSME4,ENSG00000068878,nucleoplasm,cytoplasmic;big_aggregates,
PSMF1,ENSG00000125818,nucleoplasm;cytoplasmic,,
PSMG1,ENSG00000183527,cytoplasmic;nucleoplasm,,
PSMG2,ENSG00000128789,nucleoplasm;cytoplasmic,,
PSMG3,ENSG00000157778,nucleoplasm;cytoplasmic,,
PSMG4,ENSG00000180822,nucleoplasm;cytoplasmic,big_aggregates,
PSPC1,ENSG00000121390,nuclear_punctae,,nucleoplasm
PTDSS1,ENSG00000156471,er,,
PTDSS2,ENSG00000174915,er,,
PTGES3,ENSG00000110958,nucleoplasm;cytoplasmic,,
PTK2,ENSG00000169398,focal_adhesions;cytoplasmic,,
PTK7,ENSG00000112655,membrane;vesicles,,
PTMA,ENSG00000187514,nucleoplasm,,
PXN,ENSG00000089159,focal_adhesions,,
RAB10,ENSG00000084733,er,golgi,vesicles
RAB11A,ENSG00000103769,vesicles;golgi,,
RAB11B,ENSG00000185236,golgi;vesicles,cytoplasmic,
RAB13,ENSG00000143545,membrane;cytoplasmic,er,
RAB14,ENSG00000119396,vesicles,cytoplasmic,
RAB18,ENSG00000099246,vesicles,,er
RAB1A,ENSG00000138069,golgi,,cytoplasmic;vesicles
RAB1B,ENSG00000174903,golgi,,cytoplasmic;vesicles
RAB23,ENSG00000112210,membrane;cytoplasmic;cell_contact,,
RAB24,ENSG00000169228,mitochondria,,cytoplasmic;er
RAB29,ENSG00000117280,vesicles,er,
RAB2A,ENSG00000104388,golgi;vesicles,,er
RAB2B,ENSG00000129472,golgi;vesicles,,er;cytoplasmic
RAB35,ENSG00000111737,membrane;vesicles,cytoplasmic;cell_contact,
RAB3D,ENSG00000105514,er;vesicles,,
RAB3GAP2,ENSG00000118873,golgi;cytoplasmic,vesicles,
RAB4A,ENSG00000168118,vesicles;cytoplasmic,golgi,nucleoplasm
RAB5A,ENSG00000144566,cytoplasmic;vesicles,,
RAB5B,ENSG00000111540,cytoplasmic;vesicles,,
RAB6B,ENSG00000154917,golgi,vesicles,er
RAB7A,ENSG00000075785,vesicles,,
RAB8B,ENSG00000166128,er,membrane,vesicles
RAB9A,ENSG00000123595,vesicles,,er;cytoplasmic
