target_name,ensg_id,annotations_grade_3,annotations_grade_2,annotations_grade_1
ATG14,ENSG00000126775,vesicles,cytoplasmic,
ATG2A,ENSG00000110046,vesicles,cytoplasmic,
ATG2B,ENSG00000066739,vesicles,cytoplasmic,
ATG3,ENSG00000144848,cytoplasmic,,big_aggregates
ATG4B,ENSG00000168397,cytoplasmic;nucleoplasm,,
ATG7,ENSG00000197548,cytoplasmic,,
ATG9A,ENSG00000198925,vesicles,golgi,
ATL2,ENSG00000119787,er,,
ATL3,ENSG00000184743,er,,
ATM,ENSG00000149311,nucleoplasm,,nuclear_punctae
ATP1A1,ENSG00000163399,vesicles,membrane,
ATP2B1,ENSG00000070961,membrane,,vesicles
ATP6AP1,ENSG00000071553,vesicles,golgi,
ATP6AP2,ENSG00000182220,vesicles,golgi,
ATP6V0A1,ENSG00000033627,vesicles,,
ATP6V0A2,ENSG00000185344,golgi,er,
ATP6V0D1,ENSG00000159720,vesicles,,
ATP6V1A,ENSG00000114573,vesicles,,
ATP6V1B2,ENSG00000147416,vesicles,,
ATP6V1D,ENSG00000100554,cytoplasmic,vesicles;nucleoplasm,
ATP6V1E1,ENSG00000131100,cytoplasmic;nucleoplasm,,golgi
ATP6V1F,ENSG00000128524,cytoplasmic;nucleoplasm,vesicles,
ATP6V1G1,ENSG00000136888,cytoplasmic;vesicles,,nucleoplasm
ATP6V1H,ENSG00000047249,vesicles,cytoplasmic,
ATXN10,ENSG00000130638,cytoplasmic,nucleoplasm,
ATXN2L,ENSG00000168488,cytoplasmic,,
ATXN3,ENSG00000066427,nucleoplasm;cytoplasmic,big_aggregates,
AURKB,ENSG00000178999,chromatin,,
BAG4,ENSG00000156735,nucleoplasm,nucleolus_fc_dfc,
BAG6,ENSG00000204463,cytoplasmic;nucleoplasm,,
BAIAP2,ENSG00000175866,membrane;cell_contact,cytoplasmic,
BAIAP2L1,ENSG00000006453,membrane;cell_contact,cytoplasmic,
BANF1,ENSG00000175334,nuclear_membrane,nucleoplasm;chromatin,
BAZ1A,ENSG00000198604,chromatin,,
BAZ1B,ENSG00000009954,chromatin,,
BCAP31,ENSG00000185825,er,,
BCAR1,ENSG00000050820,cytoplasmic,,focal_adhesions;vesicles
BECN1,ENSG00000126581,vesicles;cytoplasmic,,
BET1,ENSG00000105829,vesicles,,
BET1L,ENSG00000177951,vesicles,,
BIN1,ENSG00000136717,focal_adhesions,cell_contact;cytoplasmic;membrane,
BIN3,ENSG00000147439,cytoplasmic,,
BLM,ENSG00000197299,nuclear_punctae,,nucleoplasm;nucleolus_gc
BLVRA,ENSG00000106605,nucleoplasm;cytoplasmic,,
BLVRB,ENSG00000090013,cytoplasmic;nucleoplasm,,
BMS1,ENSG00000165733,nucleolus_gc,,
BNIP1,ENSG00000113734,er,,
BOP1,ENSG00000261236,nucleolus_gc,,
BPNT1,ENSG00000162813,nucleoplasm;cytoplasmic,,
BRD2,ENSG00000204256,nucleoplasm,nuclear_punctae,
BRD3,ENSG00000169925,nucleoplasm,,
BRD4,ENSG00000141867,nucleoplasm,nuclear_punctae,
BTF3,ENSG00000145741,cytoplasmic,,
BUB1,ENSG00000169679,cytoplasmic;nucleoplasm,,
BUB1B,ENSG00000156970,cytoplasmic,,
BUD23,ENSG00000071462,nucleolus_gc,,cytoplasmic
BYSL,ENSG00000112578,nucleolus_gc,cytoplasmic,nucleoplasm
C12orf57,ENSG00000111678,cytoplasmic;nucleoplasm,membrane,
C14orf119,ENSG00000179933,cytoplasmic,nucleoplasm,
C18orf21,ENSG00000141428,nucleolus_gc,,nuclear_punctae
C19orf53,ENSG00000104979,nucleolus_gc;nucleoplasm,,
C4orf32,ENSG00000174749,er,,
C7orf50,ENSG00000146540,nucleolus_gc,nucleoplasm,chromatin
C8orf33,ENSG00000182307,cytoplasmic;nucleolus_gc,nucleoplasm,
C9orf16,ENSG00000171159,cytoplasmic;nucleoplasm,,
C9orf78,ENSG00000136819,nucleoplasm,,
CAD,ENSG00000084774,cytoplasmic,,
CALD1,ENSG00000122786,cytoskeleton,,cytoplasmic
CALM1,ENSG00000198668,centrosome;cell_contact;nucleoplasm;cytoplasmic,,membrane
CALM2,ENSG00000143933,membrane;centrosome,cytoplasmic;nucleoplasm,cell_contact
CALM3,ENSG00000160014,centrosome;membrane,nucleoplasm;cytoplasmic,
CAMK1,ENSG00000134072,cytoplasmic,,nucleoplasm
CAMK2G,ENSG00000148660,cytoplasmic,,nucleoplasm
CANX,ENSG00000127022,er,,
CAPRIN1,ENSG00000135387,cytoplasmic,,nucleoplasm
CAPZB,ENSG00000077549,membrane;cytoplasmic;vesicles,,nucleoplasm
CASP2,ENSG00000106144,nucleoplasm,,
CASP3,ENSG00000164305,cytoplasmic,nucleoplasm,
CASP6,ENSG00000138794,cytoplasmic;nucleoplasm,,
CASP7,ENSG00000165806,cytoplasmic;nucleoplasm,big_aggregates,
CBX1,ENSG00000108468,nuclear_punctae,,nucleoplasm;chromatin
CCAR1,ENSG00000060339,nuclear_punctae;nucleoplasm,,
CCDC22,ENSG00000101997,vesicles,,
CCDC47,ENSG00000108588,er,,
CCDC86,ENSG00000110104,nucleolus_gc,,nucleoplasm
